1038,1,1
1921,1,1
1659,2,1
2423,2,1
963,3,1
1453,3,1
2153,3,1
2441,3,1
2723,3,1
1837,4,1
2094,4,1
47,5,1
293,5,1
2148,6,1
1642,7,1
372,8,1
1173,8,1
2048,8,1
2802,8,1
1874,9,1
2723,10,1
2874,10,1
1736,11,1
2141,12,1
104,13,1
1055,13,1
1408,13,1
2161,13,1
2265,13,1
2094,14,1
2712,15,1
2895,15,1
1844,16,1
2268,16,1
2452,17,1
1142,18,1
1320,18,1
47,19,1
437,20,1
1276,20,1
1936,20,1
2519,20,1
2032,21,1
2716,21,1
130,22,1
963,22,1
1776,22,1
1012,23,1
1704,24,1
2350,24,1
2600,24,1
99,25,1
2141,25,1
1139,26,1
2141,26,1
396,27,1
1924,28,1
2447,28,1
368,29,1
2088,29,1
864,30,1
1608,30,1
1718,31,1
2517,32,1
2141,33,1
2891,33,1
2224,34,1
99,35,1
918,35,1
1905,36,1
1729,37,1
2162,37,1
167,38,1
1389,39,1
618,41,1
752,41,1
421,42,1
1787,42,1
1870,42,1
2141,42,1
184,43,1
109,44,1
122,44,1
131,44,1
282,44,1
285,44,1
343,44,1
355,44,1
357,44,1
368,44,1
393,44,1
406,44,1
449,44,1
456,44,1
480,44,1
509,44,1
571,44,1
576,44,1
623,44,1
645,44,1
674,44,1
678,44,1
720,44,1
733,44,1
742,44,1
778,44,1
869,44,1
909,44,1
911,44,1
928,44,1
972,44,1
1014,44,1
1044,44,1
1050,44,1
1059,44,1
1088,44,1
1107,44,1
1185,44,1
1187,44,1
1240,44,1
1241,44,1
1324,44,1
1335,44,1
1353,44,1
1392,44,1
1449,44,1
1457,44,1
1485,44,1
1518,44,1
1524,44,1
1530,44,1
1537,44,1
1542,44,1
1566,44,1
1573,44,1
1617,44,1
1631,44,1
1634,44,1
1719,44,1
1720,44,1
1744,44,1
1749,44,1
1828,44,1
1852,44,1
1908,44,1
2028,44,1
2046,44,1
2053,44,1
2059,44,1
2066,44,1
2067,44,1
2088,44,1
2095,44,1
2112,44,1
2202,44,1
2218,44,1
2246,44,1
2305,44,1
2345,44,1
2379,44,1
2382,44,1
2386,44,1
2453,44,1
2497,44,1
2736,44,1
2788,44,1
2828,44,1
2838,44,1
2865,44,1
244,45,1
1730,45,1
1539,46,1
2716,46,1
5,47,1
19,47,1
95,47,1
154,47,1
216,47,1
285,47,1
330,47,1
343,47,1
355,47,1
440,47,1
456,47,1
465,47,1
633,47,1
664,47,1
674,47,1
